state,HELLO,GOODBYE,STARTHERE,ENDHERE,TASK,ENDTASK,INVOLVES,NUMBER,STRING,BOOLEAN,ACCEPT,RETURN,WHILE,ENDWHILE,UNTIL,SHOW,FROM,ENDFROM,WHEN,ENDWHEN,OTHERWISE,ADD,SUB,MUL,DIV,MOD,COMMA,LPAREN,RPAREN,LOGOP,RELOP,PERIOD,COMMENT,NUMCONST,LITSTRING,BOOLEANCONST,ID,PERMANENT,CONCATENATE,NOT,BE,INCREMENT,BY,UNARYMINUS,UNARYPLUS,EOF,program,main,task,taskdeclaration,taskcalldec,taskcall,paramlist,declaration,datatype,initialization,statements,whilestatement,ifstatement,assignmentstatement,forloopstatement,returnstatement,iostatement,concatstatement,concatprime,relationalexpr,logicalexpr,E,T,F,value,unaryoperator
0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s13,-,-,-,-,-,s9,s7,s8,s12,-,-,-,-,-,-,s11,s10,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5,4,1,3
1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r69,r69,r69,r69,r69,-,-,r69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r74,r74,r74,r74,r74,r74,-,r74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r66,r66,r66,r66,r66,-,-,r66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r62,r62,s18,s19,s20,-,-,r62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s16,s17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,accept,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r70,r70,r70,r70,r70,r70,-,r70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r72,r72,r72,r72,r72,r72,-,r72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r73,r73,r73,r73,r73,r73,-,r73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,-,-,-,-,-,-,s15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r13,r13,r13,r13,r13,-,-,r13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s13,-,-,-,-,-,s9,s7,s8,s12,-,-,-,-,-,-,s11,s10,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,5,4,1,3
14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s16,s17,-,-,-,-,-,s28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s13,-,-,-,-,-,s9,s7,s8,s12,-,-,-,-,-,-,s11,s10,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,4,1,3
17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s13,-,-,-,-,-,s9,s7,s8,s12,-,-,-,-,-,-,s11,s10,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,4,1,3
18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s13,-,-,-,-,-,s9,s7,s8,s12,-,-,-,-,-,-,s11,s10,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,1,3
19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s13,-,-,-,-,-,s9,s7,s8,s12,-,-,-,-,-,-,s11,s10,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,1,3
20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s13,-,-,-,-,-,s9,s7,s8,s12,-,-,-,-,-,-,s11,s10,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,1,3
21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r71,r71,r71,r71,r71,r71,-,r71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r65,r65,r65,r65,r65,-,-,r65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
